lg	pos	pc	chi_squared	neg_log_p_value
scaffold4	532336	PC6	27.4207763671875	15.625453749375108
scaffold4	789797	PC6	26.8528938293457	15.331706967712801
scaffold4	789854	PC6	26.2578182220459	15.023682334386306
scaffold4	790781	PC6	27.7118148803711	15.775924365846842
scaffold4	795369	PC6	26.0810699462891	14.932150329193988
scaffold4	795414	PC6	25.4029331207275	14.58077638374998
scaffold4	795449	PC6	28.9462566375732	16.41361529605449
scaffold4	795452	PC6	25.3699550628662	14.563681093290638
scaffold4	795687	PC6	30.9324398040771	17.437971369526657
scaffold4	795747	PC6	30.4090747833252	17.168239236419005
scaffold4	795819	PC6	31.0942554473877	17.52134188239586
scaffold4	796779	PC6	29.9010219573975	16.90627218617507
scaffold4	796810	PC6	27.8207855224609	15.83225096675539
scaffold4	797802	PC6	28.9227619171143	16.401486095741994
scaffold4	798081	PC6	25.8480529785156	14.811447762873314
scaffold4	798117	PC6	27.7489814758301	15.795136434341769
scaffold4	798166	PC6	27.0069980621338	15.411439141656546
scaffold4	798168	PC6	27.1790428161621	15.50043661882746
scaffold4	798187	PC6	29.4503746032715	16.67379748397524
scaffold4	798203	PC6	27.5174083709717	15.675419197778371
scaffold4	798575	PC6	26.7380428314209	15.272274635376792
scaffold4	798652	PC6	25.9795455932617	14.879565159990756
scaffold4	798662	PC6	25.0307865142822	14.387818319760639
scaffold4	798968	PC6	25.9956569671631	14.887910592580576
scaffold4	801816	PC6	25.669994354248	14.719189543286134
scaffold4	801956	PC6	28.8843269348145	16.381643320945354
scaffold4	801961	PC6	25.7684059143066	14.770182506404081
scaffold4	802441	PC6	27.3342952728271	15.580732372987857
scaffold4	804256	PC6	29.1555595397949	16.521655504575754
scaffold4	804495	PC6	30.4435329437256	17.186002322861064
scaffold4	808057	PC6	25.5316200256348	14.647478540781574
scaffold4	808208	PC6	25.5513095855713	14.65768322562098
scaffold4	808236	PC6	27.0816860198975	15.450076855652867
scaffold4	811101	PC6	25.817066192627	14.795393962213693
scaffold4	811141	PC6	25.6806735992432	14.724723415074491
scaffold4	811271	PC6	26.6549682617188	15.229280693958298
scaffold4	811343	PC6	25.3288650512695	14.542379661251768
scaffold4	811418	PC6	25.2306175231934	14.491442576748438
scaffold4	812114	PC6	26.8207111358643	15.315054097360282
scaffold4	812459	PC6	25.73317527771	14.751928127579106
scaffold4	812678	PC6	28.3263339996338	16.09347942854088
scaffold4	812700	PC6	29.2815990447998	16.586704845395325
scaffold4	812769	PC6	27.9987506866455	15.924226051399884
scaffold4	812799	PC6	27.1061134338379	15.462712961922618
scaffold4	812804	PC6	30.2502059936523	17.08633537857101
scaffold4	812814	PC6	29.581714630127	16.741562275569297
scaffold4	812816	PC6	30.0246543884277	16.970032416531744
scaffold4	812875	PC6	28.0303421020508	15.94055109561908
scaffold4	812885	PC6	26.9552307128906	15.384656781037402
scaffold4	813866	PC6	25.6069412231445	14.686514527732282
scaffold4	813935	PC6	27.8031215667725	15.823120982894121
